id_str,name,created,loc,mentions,hashtags,text
959592477509394436,spnbmb,2018-02-03 01:00:49,inner hell | Seattle,"[{'screen_name': 'transscribe', 'name': 'Katelyn Burns', 'id': 4421977275, 'id_str': '4421977275', 'indices': [0, 12]}, {'screen_name': 'odinsdream', 'name': ""june's on mastodon, twіtter is trash pass it on."", 'id': 4675134745, 'id_str': '4675134745', 'indices': [13, 24]}]",[],"b'@transscribe @odinsdream between this and the soros antifa checks, payday is gonna be huge'"
959592476955828224,nategorby,2018-02-03 01:00:49,America's High Five,[],[],b'When I worked at Best Buy in 2005 CDs took up 70% of the floor space. Crazy to hear they\xe2\x80\x99re taking it all away. https://t.co/8s7EYPgRel'
959592476997750784,xStephSoto,2018-02-03 01:00:49,,[],[],b'EVERY SINGLE TIME https://t.co/ZvMX8Kp9nI'
959592477140377600,DaniaDeLawton,2018-02-03 01:00:49,Lawton,[],[],"b'With the exception of Song of the South &amp; Bedknobs &amp; Broomsticks, I\xe2\x80\x99ve seen them all https://t.co/M8bVWEyavI'"
959592477211557888,CaidenH7,2018-02-03 01:00:49,,[],[],b'IGN: ChubbyH7\nGoodluck to all :) https://t.co/YOEIHSIIXY'
959592477454979072,FatedNimbus,2018-02-03 01:00:49,"Who knows, even I Don’t Know.","[{'screen_name': 'MsDBZbabe', 'name': '✨Maria MsDBZbabe✨', 'id': 35340690, 'id_str': '35340690', 'indices': [0, 10]}, {'screen_name': 'CosmicFlareXL', 'name': 'Kosmo 🌺🍒 | CosmicFlareXL', 'id': 790269117509099520, 'id_str': '790269117509099520', 'indices': [11, 25]}]",[],"b'@MsDBZbabe @CosmicFlareXL I agree but if we make another private server, this one will die cause we\xe2\x80\x99ll all be in the private one.'"
959592477337497600,rxbxcca_anna,2018-02-03 01:00:49,pa,[],[],b'my period has come with a vengeance @ the full moon I get it'
959592476985131008,MIKELLYNO,2018-02-03 01:00:49,"Bucharest, Romania","[{'screen_name': 'bowiebookpod', 'name': 'Bowie Bookclub', 'id': 751783788552740864, 'id_str': '751783788552740864', 'indices': [0, 13]}]",[],"b'@bowiebookpod Yes, ordained by the seven churches perimeter. The Faustian pact with the devil is impossible to brea\xe2\x80\xa6 https://t.co/VaK70FN95v'"
959592477450674176,ThatAwkwardStr1,2018-02-03 01:00:49,,"[{'screen_name': 'mayamewww', 'name': 'a smol oppressed youtuber', 'id': 935460702445121537, 'id_str': '935460702445121537', 'indices': [0, 10]}]",[],"b""@mayamewww Well, I haven't found any yet."""
959592477463326720,tsungie_x,2018-02-03 01:00:49,"Birmingham, England",[],[],b'Making me feel special no matter how stubborn I am\xf0\x9f\x98\xad\xf0\x9f\x98\x82'
959592477106884610,caring_crate,2018-02-03 01:00:49,Greater Vancouver,[],[],b'Take a peek inside our Self-Love Box from January! https://t.co/k3J0z7K0HQ'
959592477748441088,gotou_eng,2018-02-03 01:00:49,,[],[],"b""...I secretly really like when Monoyoshi plays with my hair...D-don't tell him though!!"""
959592477421391878,KuriChicken,2018-02-03 01:00:49,"Merritt Island, FL","[{'screen_name': '_Ni_cck', 'name': 'Nick', 'id': 1588966153, 'id_str': '1588966153', 'indices': [0, 8]}, {'screen_name': 'alibossgod', 'name': 'Alibossgod', 'id': 895414269025628160, 'id_str': '895414269025628160', 'indices': [9, 20]}]",[],b'@_Ni_cck @alibossgod I only like one person and it\xe2\x80\x99s not Ali'
959592477601787904,LO_theykno,2018-02-03 01:00:49,,[],[],b'I hate when my phone dies while I\xe2\x80\x99m out. Like i have to stop everything and go find a charger \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
959592477744250881,JoannaDeLaune,2018-02-03 01:00:49,,"[{'screen_name': 'KillerMartinis', 'name': 'Linda Tirado', 'id': 307577710, 'id_str': '307577710', 'indices': [0, 15]}]",[],"b'@KillerMartinis I opened Twitter and this was the first tweet that popped up so I was being a smartass, yeah.\n\nI be\xe2\x80\xa6 https://t.co/Sn1u3Wxi2Q'"
959592477551337472,kMzReports,2018-02-03 01:00:49,,"[{'screen_name': 'kMzReports', 'name': 'Home of The 2017 Scopee Awards !!!', 'id': 750156209630515200, 'id_str': '750156209630515200', 'indices': [74, 85]}]",[],"b'""The 2017 SCOPEE Awards"" - 4th Friday 8pm EST Nomination Ceremony- Follow @kMzReports on Twitter to vote! https://t.co/iN9w70OuUs'"
